iter	Passed	Remaining
0	69	20762
1	72	10854
2	75	7498
3	78	5797
4	80	4729
5	81	4013
6	84	3524
7	86	3141
8	87	2844
9	89	2600
10	91	2402
11	93	2238
12	95	2100
13	96	1980
14	98	1878
15	100	1786
16	102	1705
17	104	1631
18	105	1562
19	107	1503
20	109	1452
21	110	1402
22	113	1362
23	114	1321
24	116	1285
25	118	1252
26	120	1222
27	122	1191
28	124	1165
29	126	1142
30	129	1124
31	131	1102
32	133	1080
33	135	1059
34	137	1038
35	139	1020
36	141	1002
37	143	988
38	145	972
39	147	956
40	149	941
41	150	926
42	152	912
43	154	900
44	156	888
45	158	876
46	160	865
47	162	853
48	164	842
49	166	831
50	167	817
51	169	809
52	171	800
53	173	790
54	175	780
55	177	771
56	179	763
57	183	765
58	185	758
59	187	750
60	189	742
61	191	735
62	192	725
63	195	719
64	196	712
65	199	706
66	201	701
67	203	694
68	204	684
69	206	677
70	208	671
71	210	665
72	212	659
73	214	653
74	215	647
75	217	642
76	219	636
77	221	631
78	223	625
79	225	619
80	227	613
81	228	608
82	230	602
83	232	597
84	233	591
85	235	586
86	237	581
87	239	576
88	241	571
89	242	566
90	244	560
91	246	556
92	247	551
93	249	547
94	251	542
95	253	538
96	255	534
97	257	530
98	259	525
99	260	521
100	262	517
101	264	513
102	266	509
103	268	505
104	269	501
105	271	497
106	273	493
107	275	489
108	277	485
109	279	482
110	281	478
111	283	475
112	285	471
113	286	468
114	288	464
115	290	461
116	292	457
117	294	454
118	296	451
119	298	447
120	300	444
121	302	440
122	304	437
123	305	434
124	307	430
125	309	427
126	311	423
127	313	420
128	315	417
129	316	413
130	318	410
131	320	407
132	321	404
133	323	401
134	325	398
135	327	395
136	329	392
137	331	389
138	333	386
139	335	383
140	337	380
141	339	377
142	340	374
143	342	371
144	344	368
145	346	365
146	348	362
147	350	359
148	352	356
149	354	354
150	355	350
151	357	348
152	359	345
153	360	342
154	362	339
155	364	336
156	366	333
157	367	330
158	369	327
159	371	325
160	373	322
161	375	319
162	376	316
163	378	313
164	380	311
165	381	308
166	383	305
167	385	302
168	386	299
169	388	297
170	390	294
171	392	291
172	393	289
173	395	286
174	397	284
175	399	281
176	401	278
177	403	276
178	404	273
179	406	271
180	408	268
181	410	266
182	412	263
183	413	260
184	415	258
185	417	255
186	418	253
187	420	250
188	422	248
189	424	245
190	425	243
191	427	240
192	429	238
193	431	235
194	432	233
195	434	230
196	436	228
197	438	225
198	440	223
199	442	221
200	443	218
201	445	216
202	447	213
203	449	211
204	451	209
205	452	206
206	455	204
207	457	202
208	458	199
209	460	197
210	462	195
211	464	192
212	466	190
213	467	188
214	469	185
215	471	183
216	473	181
217	475	178
218	477	176
219	478	174
220	480	171
221	482	169
222	484	167
223	485	164
224	487	162
225	489	160
226	491	157
227	492	155
228	494	153
229	496	151
230	498	148
231	500	146
232	501	144
233	503	142
234	505	139
235	507	137
236	509	135
237	510	133
238	512	130
239	514	128
240	516	126
241	518	124
242	520	121
243	521	119
244	523	117
245	525	115
246	527	113
247	529	110
248	530	108
249	532	106
250	535	104
251	536	102
252	539	100
253	540	97
254	542	95
255	544	93
256	546	91
257	548	89
258	549	87
259	551	84
260	553	82
261	555	80
262	557	78
263	558	76
264	560	74
265	562	71
266	564	69
267	565	67
268	567	65
269	569	63
270	571	61
271	573	59
272	575	56
273	577	54
274	579	52
275	581	50
276	583	48
277	584	46
278	586	44
279	588	42
280	590	39
281	591	37
282	593	35
283	595	33
284	597	31
285	598	29
286	600	27
287	602	25
288	604	23
289	606	20
290	608	18
291	610	16
292	612	14
293	614	12
294	616	10
295	618	8
296	621	6
297	623	4
298	624	2
299	626	0
